EventID,Timestamp,Source IP,Destination IP,Protocol,Action,Bytes Sent,Risk Score
N00001,2025-03-15 04:41:38,168.39.38.2,67.60.106.4,UDP,Block,19005,0.27
N00002,2025-03-16 22:59:44,214.20.229.28,152.19.205.112,TCP,Allow,33072,0.34
N00003,2025-03-20 16:32:50,173.53.206.235,33.162.23.208,HTTP,Allow,43083,0.63
N00004,2025-04-07 12:45:52,211.36.195.71,209.215.46.164,TCP,Block,10887,0.85
N00005,2025-03-24 16:01:29,18.63.140.111,220.230.195.129,UDP,Block,21426,0.13
N00006,2025-04-05 19:58:01,97.162.74.15,205.174.169.24,ICMP,Reset,40869,0.68
N00007,2025-04-05 00:12:35,163.67.1.171,65.184.126.215,UDP,Reset,45115,0.15
N00008,2025-03-26 06:17:43,136.11.29.3,50.151.75.78,ICMP,Block,39389,0.84
N00009,2025-04-01 07:14:52,85.132.126.18,174.243.85.4,TCP,Block,41055,0.27
N00010,2025-04-08 11:19:09,197.66.35.70,134.84.227.55,UDP,Reset,31301,0.04
N00011,2025-03-15 10:53:49,135.178.196.231,212.29.206.100,ICMP,Reset,27266,0.08
N00012,2025-03-23 13:23:07,204.195.64.168,219.103.41.231,HTTP,Allow,49054,0.53
N00013,2025-03-28 10:52:48,48.58.204.14,219.12.31.217,HTTPS,Reset,5305,0.82
N00014,2025-04-02 02:39:47,139.43.106.125,205.34.87.244,HTTP,Block,27521,0.82
N00015,2025-04-04 04:55:34,210.214.14.237,205.25.247.134,HTTP,Reset,918,0.62
N00016,2025-04-06 14:46:28,201.20.73.139,65.154.134.243,ICMP,Allow,44824,0.19
N00017,2025-03-22 00:49:26,139.210.147.105,197.126.197.169,HTTPS,Allow,41697,0.03
N00018,2025-04-09 00:02:55,91.232.254.81,208.67.42.122,HTTP,Allow,4722,0.61
N00019,2025-03-19 22:29:30,65.36.106.4,131.106.46.54,ICMP,Block,23687,0.96
N00020,2025-04-06 13:01:32,23.214.55.111,180.73.142.247,HTTP,Allow,23226,0.42
N00021,2025-03-30 19:50:39,128.101.94.18,48.116.226.188,ICMP,Block,6107,0.21
N00022,2025-04-05 09:03:15,148.245.48.85,174.106.99.99,HTTP,Allow,26769,0.59
N00023,2025-03-15 12:22:38,156.47.71.128,38.53.166.149,UDP,Block,27537,0.51
N00024,2025-03-17 17:38:53,64.237.115.117,126.143.140.21,HTTPS,Block,37882,0.06
N00025,2025-04-10 10:36:40,206.116.107.196,19.199.245.238,ICMP,Allow,15021,0.24
N00026,2025-03-22 22:16:51,196.135.125.47,202.1.195.252,ICMP,Reset,1821,0.82
N00027,2025-03-22 09:38:04,50.233.115.117,220.251.29.163,TCP,Allow,1304,0.57
N00028,2025-03-15 03:40:59,77.37.104.29,166.216.212.53,UDP,Allow,33138,0.23
N00029,2025-04-13 15:11:55,195.0.48.236,33.131.1.139,HTTP,Allow,26289,0.79
N00030,2025-04-03 02:12:45,170.147.219.21,215.228.211.242,HTTPS,Allow,37067,0.98
N00031,2025-03-18 10:29:42,103.191.78.51,1.91.222.27,UDP,Reset,892,0.58
N00032,2025-03-20 07:54:18,125.82.91.167,125.159.8.208,TCP,Block,31035,0.74
N00033,2025-04-10 14:19:30,38.97.166.225,185.3.121.67,HTTPS,Reset,20524,0.45
N00034,2025-04-04 03:05:45,212.18.10.53,113.202.89.61,HTTP,Block,49288,0.49
